index,place,price,time,about_trip,emi
0,manali,"18,699","
                            6 NIGHTS
                        ","
	After breakfast, drive to Delhi for your return journey.
	 
	"," 1,149
                            "
1,new delhi,"4,999","
                            2 NIGHTS
                        ","
	Upon arrival in Delhi head straight to Amritsar. 
	After breakfast, visit Jallianwala Bagh. This historical area is known for the massacre commissioned by General Dyer, during the British Rule. In the evening, visit Wagah border. The guard changing ceremony every evening in the India - Pakistan border is the highlight of the area. By late evening, you return to the hotel room for overnight stay. 
	After breakfast, drive back to Delhi."," 307
                            "
2,new delhi,"4,999","
                            2 NIGHTS
                        ","
	Upon arrival in Delhi drive straight to Lansdown. Arrive Lansdowne and check into your pre-booked hotel. 
	Today you will visit Tarkeshwar Mahadev Temple, St Mary's Church, St. John's Catholic Church, Garhwali Mess, Garhwal Regimental Museum & Darwan Singh Museum. 
	After breakfast, drive back to Delhi."," 307
                            "
3,jaipur,"6,100","
                            2 NIGHTS
                        ","
	
		Upon your arrival in Bharatpur from Delhi, check in to the hotel. 
		 
		Bharatpur is a small town, situated in the eastern part of Rajasthan. One of the most famous sites here is Lohagarh Fort, built by Maharaja Suraj Mal in the 18th century AD. 
		 
		After check-in, spend the day at leisure, or utilize it to discover the charm of Rajasthani heritage in the majestic Lohagarh fort and other excellent architectural structures. In the evening, stay overnight at the hotel.  
		 
	
		Early in the morning, 
		 
		Post the tour of Keoladeo National Park, return to the hotel for an overnight stay.   
		 "," 375
                            "
4,jaipur,"6,100","
                            2 NIGHTS
                        ","
	Post pick-up from Delhi, travel to Jaipur via road and upon arrival in the city, head to the hotel.
	 
	Renowned for its cultural charm, Jaipur showers all with royal hospitality, making them feel like a maharaja an unforgettable experience. After check-in at the hotel, spend the day at leisure. 
	 
	In the evening, visit Chokhi Dhani (At your own expense) a village-themed resort, which provides a lifetime experience by giving you the chance to delve into the rich heritage of Jaipur. Puppet shows, authentic Rajasthani dishes, acrobatic shows and cultural performances are some of the highlights of this place. (Entry ticket or any other expense would be on direct payment basis).
	 
	After exploring the resort, return to the hotel for a peaceful sleep. 
	 
	Visit Amber Fort, built in 1592, using red sandstone and marble. This fortress features delicate, artistic engravings that are inspired from the Hindu and Muslim design layouts. Its marvellous interiors, and attractively planned Deewan-i-Aam, Shila Devi Temple, Sheesh Mahal and Ganesh Pol etch their charm on the hearts of visitors. Tourists also get attracted to the Magic Flower, a carving on Sheesh Mahal’s marble walls.
	 
	Post exploring this huge fortress, see the Rajputana masonry at Hawa Mahal, which is also called the Palace of the Winds. It was constructed by Maharaja Sawai Pratap Singh in 1799. Its design is said to resemble the crown of Lord Krishna. It attracts tourists for not only its mythological connection, but also intricately carved jharokhas that still prove to be a source of inspiration for architects.
	 
	Also during the day, see Jal Mahal, situated in Man Sagar Lake, from outside. Looking beyond the lake, tourists will be greeted by the scenic views of the Aravalli Hills, temples and ancient forts. You can use the remaining time to explore the dazzling markets of Jaipur.
	 
	After finishing this half-day sightseeing tour, retreat to the hotel for an overnight stay. 
	 "," 375
                            "
5,kochi,"13,500","
                            5 NIGHTS
                        ","
	Embark on a sightseeing tour to Munnar. Start the trip with Anamudi Peak, which is the highest peak in Western Ghats with an elevation of 2,695 m. Also, a trip to this place is incomplete without a visit to the Eravikulam National Park (Rajamalai). This park, spread over an area of approximately 97 sq km, is home to numerous endangered animal species. Take an eco-friendly vehicle to explore this place and adore the sprawling tea plantations and wildlife in their natural habitat.
	 
	After spending a day full of fun and adventure, return to the hotel for an overnight stay."," 830
                            "
6,srinagar,"50,999","
                            7 NIGHTS
                        ","
	
		Get up early morning to witness the sunrise view at the lake. Enjoy your breakfast and drive back to Leh via Changla Pass 5486 Mtrs. Arrive Leh and check in at the hotel. Evening free for shopping or leisure. Dinner & overnight stay at Hotel."," 3,134
                            "
7,srinagar,"10,896","
                            2 NIGHTS
                        ","
	
		
			On arrival in Srinagar, meet a Yatra representative who will arrange your transfers to Hotel.
			 
			Begin the excursion by paying homage at Shankaracharya Temple. Named after the great saint, Shankaracharya, this temple is situated atop Gopadari Hill and is a revered Hindu pilgrimage site. Dedicated to Lord Shiva, this spiritual place can be reached after climbing around a hundred steps. It stands strong in an octagonal structure, resembling the shape of a Shiva linga.
			 
			After this, journey to the Mughal Gardens and explore its unending beauty. With bright and colourful flowerbeds, gushing fountains and terraced lawns, the panoramic expanse of Mughal Gardens is beyond description.
			 
			After a jaunt to the astonishing sites of Srinagar, treat yourselves by indulging in some shopping at the bustling Lal Chowk. You can buy locally produced products, such as leather goods, embroidered mats and carpets, antique jewellery and the highly demanded Pashmina shawls.  
			 
			Later, check-in at the hotel and rest.
	
		
			After a delectable breakfast, check-out from the hotel and drive to Gulmarg via Tangmarg Road.
			 
			Srinagar, situated on the banks of river Jhelum, is the summer capital of Jammu and Kashmir. Its awe-inspiring landscape, magnificent architecture, tombs and temples, exquisite gardens and Dal Lake make it a heaven on earth. Surrounded by a number of lakes, this scenic city, serene in its own way, is also known as the Kashmiri Venice or the Venice of the East. Bestowing its old-world charm on tourists, Srinagar aces in natural beauty and historical significance.
			 
			Drive from Srinagar to Gulmarg via Tangmarg Road, and after covering around 50 km, arrive at your destination. Post reaching here, transfer to the hotel and relax for some time. 
			 
			As serene and peaceful as it can get, Gulmarg is truly a fantasy for all. Gulmarg derived its name from the immense lushness of hills, full of colourful flowers, and is thus one of the most popular destinations in India. A wide expanse of panoramic surroundings, spectacular views and simplicity add solace to the omnipresent charm of this town.
			 
			You may go on a fun-filled gondola ride at your own expense that offers a thrilling view of fir-clad slopes. With the evening at your leisure, you may opt for a stroll through enchanting valleys, along mountain streams, and to the lakes in the area. 
			 
			Later, Drive back to Srinagar, return to the hotel and have a comfortable sleep in your room.
	
		After a scrumptious breakfast, check-out from the hotel and transfer to the Srinagar airport to continue your onward journey."," 670
                            "
8,jammu and kashmir,"30,999","
                            5 NIGHTS
                        ","
	Post breakfast we drive on the Srinagar highway and start our Day by visiting the hall of fame - museum constructed by the Indian army, Gurudwara Patthar Sahib nestled deep in the Himalayas, which was built by the lamas of leh in 1517 to commemorate the visit of guru nanak dev. Further we experience the magnetic hill which defies the law of gravity. We stop at the confluence of the Indus and Zanskar rivers and later we drive back to the hotel in leh. Over night stay at the Hotel.
	
		Morning at leisure to explore the beauty of lake and later we drive back to leh. Overnight at hotel in leh."," 1,905
                            "
9,jammu and kashmir,"27,999","
                            4 NIGHTS
                        ","
	Post breakfast we drive on the Srinagar highway and start our Day by visiting the hall of fame - museum constructed by the Indian army, Gurudwara Patthar Sahib nestled deep in the Himalayas, which was built by the lamas of leh in 1517 to commemorate the visit of guru nanak dev. Further we experience the magnetic hill which defies the law of gravity. We stop at the confluence of the Indus and Zanskar rivers and later we drive back to the hotel in leh. Over night stay at the Hotel."," 1,720
                            "
